DOI,CCDC_DOI,CCDC,Compound,Dimensionality,Bandgap,PLE,PL,Emission color,PLQY,Lifetime
10.1021/acs.inorgchem.0c03187,10.5517/ccdc.csd.cc250v02,1996803,[(2-(Bis(4-fluorophenyl)phosphino)pyridine)(triphenylphosphine)2Cu2I2],0D,2.99,350,561,Yellowish-green,61,7.3
10.1016/j.ica.2020.120241, 10.5517/ccdc.csd.cc26grk0,2039972,"CuI(tpp)(2,9-dm-1,10-phenanthroline) (tpp=triphenylpho sphine;dm=dimethyl)",0D,2.2,360,605,Orange,25.8,— 
10.1016/j.ica.2020.120241,10.5517/ccdc.csd.cc26grhy,2039970,"CuI(tpp)(2,9-dichloro-1,10-phenanthroline)",0D,2.1,360,620,Orange-red,19.3,— 
10.1016/j.ica.2020.120241,10.5517/ccdc.csd.cc26grjz,2039971,"CuI(tpp)(5-chloro-6-methyl-1,10-phenanthroline)",0D,2,360,650,Red,3.8,— 
 10.1021/ja507927a,10.5517/cc130dh0,1013281,CuI(2-et-3-me-pz) (et=ethyl;me=methyl;pz=pyrazine),1D,2.6,365,490,Green,32.4,— 
 10.1021/ja507927a,10.5517/cc130dk2,1013283,CuI(3-Br-py) (3-Br-py = 3-Bromopyridine),1D,2.7,365,480,Blue,16,— 
 10.1021/ja507927a,10.5517/cc130dl3,1013284,CuI(5-Br-pm) (pm=pyrimidine),1D,2.3,365,545,Yellow,13.1,— 
10.1021/ja507927a,10.5517/cc130dgz,1013280,"CuI(2,6-dm-pz) (2,6-dm-pz = 2,6-Dimethylpyrazine)",1D,2.4,365,525,Green,15.4,— 
10.1021/ja507927a,10.5517/cc4hcvt,133946,CuI(2-cy-pz) (2-cy-pz = 2-Cyanopyrazine),1D,2.2,365,618,Red,10.1,— 
10.1021/ja507927a,— ,1211920,CuI(3-pc) (3-pc = 3-Picoline),1D,3,365,469,Blue,37.2,— 
10.1021/ja507927a,— ,1211921,CuI(4-pc) (4-pc = 4-Picoline),1D,3.2,365,433,Purple,35.8,— 
10.1021/acs.chemmater.1c01421, 10.5517/ccdc.csd.cc25b1l5,2005656,"CuI(bpe)0.5 ( bpe= 1,2-bis(4-pyridyl)ethane)",2D,3.1,360,443,Purple,16.4,— 
10.1021/acs.chemmater.1c01421,10.5517/cc6n8qt,198236,CuI(pz)0.5 ( pz=pyrazine),2D,2.25,360,578,Yellow,12.7,— 
10.1021/acs.chemmater.1c01421, 10.5517/cc6n8tx,198239,CuI(pm)0.5 ( pm=pyrimidine),2D,2.5,360,500,Green,17,— 
10.1021/acs.chemmater.1c01421,10.5517/cc6n8x0,198242,"CuI(4,4′-bpy)0.5 (4,4′-bpy= 4,4′-bipyridine)",2D,2.3,360,556,Yellow,2.5,— 
10.1021/acs.chemmater.1c01421,10.5517/cc6n8rv,198237,"CuI(bpee)0.5 (bpee= 1,2-bis(4-pyridyl)ethylene",2D,2.2,360,695,Red,1,— 
10.3390/molecules26113415,10.5517/ccdc.csd.cc269c1y,2034779,Cu2I2(2-diphenylphosphino-pyrimidine)3,0D,— ,372,565,— ,13,1.7
10.3390/molecules26113415,10.5517/ccdc.csd.cc269c2z,2034780,Cu2Br2(2-diphenylphosphino-pyridine)3,0D,— ,372,545,— ,53,8.8
10.3390/molecules26113415,10.5517/ccyf91p,876712,Cu2Cl2(Ph2Ppy)3 ( Ph2Ppy= 2-diphenylphosphino-pyridine),0D,— ,372,577,— ,37,7.9
10.3390/molecules26113415,10.5517/ccx4wkg,838846,Cu2I2(Ph2Ppy)3 ( Ph2Ppy= 2-diphenylphosphino-pyridine),0D,— ,372,539,— ,81,6.5
10.3390/molecules26113415,10.5517/ccdc.csd.cc269c30,2034781,Cu2I2(Ph2Piqn)3 ( Ph2Piqn= 1-diphenylphosphino-isoquinoline),0D,— ,372,636,— ,38,3.3
10.1039/D0DT00192A,10.5517/ccdc.csd.cc23t087,1960448,[Cu2Cl2(Py3P)2] ( Py3P= tris(2-pyridyl)phosphine),0D,— ,360,550,Yellow,55,14.5
10.1039/D0DT00192A,10.5517/ccdc.csd.cc23t098,1960449,[Cu2Br2(Py3P)2] ( Py3P= tris(2-pyridyl)phosphine),0D,— ,360,530,— ,53,18.3
10.1039/D0DT00192A,10.5517/ccdc.csd.cc23t065,1960446,[Cu2I2(Py3P)2] ( Py3P= tris(2-pyridyl)phosphine),0D,— ,360,520,Green,51,20
 10.1039/C9SC00970A,10.5517/ccdc.csd.cc21dlnq,1888943,"Cu2I2(biprbt)2(biprbt=1-(3-(1H-benzo[d]imidazol-1-yl)propyl)1H-benzo[d][1,2,3]triazole)",1D,2.3,360,572,Yellow,56,6.64
 10.1039/C9SC00970A,10.5517/ccdc.csd.cc21dljl,1888939,"Cu2I2(bbtbu)2(bbtbu=1,4-bis(1H-benzo[d][1,2,3]triazol-1-yl)butane)",1D,2.4,360,562,Yellow,66,— 
 10.1039/C9SC00970A,10.5517/ccdc.csd.cc21dlpr,1888944,"Cu2I2(bihebt)2(bihebt=1-(6-(1H-benzo[d]imidazol-1-yl)hexyl)-1H-benzo[d][1,2,3]triazole)",1D,2.6,360,542,Yellow,63,— 
 10.1039/C9SC00970A,10.5517/ccdc.csd.cc21dlln,1888941,"Cu2I2(bbtpe)2(bbtpe=1,5-bis(1H-benzo[d][1,2,3]triazol-1-yl)pentane)",1D,2.7,360,508,Blue-green,83,— 
 10.1039/C9SC00970A, 10.5517/ccdc.csd.cc21dlmp,1888942,"Cu4I4(bbtpe)2(bbtpe=1,5-bis(1H-benzo[d][1,2,3]triazol-1-yl)pentane)",1D,2.4,360,560,Yellow,82,2.26
10.1515/znb-2021-0126,10.5517/ccdc.csd.cc28nfds,2105005,"Cu2I2(bpoe)2(bpoe=1,2-bis(pyridin-3-yloxy)ethane)",1D,2.5,360,560,Yellow,45,— 
10.1515/znb-2021-0126,10.5517/ccdc.csd.cc28nfft,2105006,"Cu2I2(bbtpe-m)2(bbtpe-m=1,10-(3-methylpentane-1,5-diyl)bis(1H-benzo[1,2,3]triazole))",1D,2.7,360,510,Cyan,25,— 
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6j6n,1585191,CuI(2-(methylsulfanyl)pyridine),1D,3.1,375,449,Blue,0.5,0.9
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6j7p,1585192,Cu2I2(2-(methylsulfanyl)pyridine),1D,3.1,375,451,Blue,45,0.56
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6w4y,1585530,Cu2I2(2-methyl-6-(methylsulfanyl)pyridine),1D,3,420,"562, 638",Orange,20,"0.7, 2.0"
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6w3x,1585529,Cu3I3(2-(butylsulfany)-6-methylpyridine),1D,3.1,375,440,Blue,13,7
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6w1v,1585527,Cu2I2(2-(methylsulfanyl)-3-phenylpyridine),1D,2.9,375,520,Green,1,0.53
10.1039/D3DT00035D, 10.5517/ccdc.csd.cc1q6w0t,1585526,Cu2I2(3-butoxy-2-(methylsulfanyl)pyridine ),1D,3,375,477,Cyan,44,0.9
10.1039/D3DT00035D,10.5517/ccdc.csd.cc1q6vzr,1585525,Cu2I2(3-ethoxy-2-(methylsulfanyl)pyridine),1D,2.9,375,470,Cyan,16,0.4
10.1039/D3DT00035D, 10.5517/ccdc.csd.cc1q6j5m,1585190,Cu2I2(6-hydroxymethyl-2-(methylsulfanyl)pyridine),1D,3,375,470,Cyan,14,2
10.1021/jacs.5b04840,— ,1152188,Cu2I2(3-pc)4 (3-pc= 3-Picoline),0D,2.6,360,496,Blue-Green,95.2,— 
10.1021/jacs.5b04840,— ,1123073,"Cu2I2(3,5-dm-py)4 (3,5-dm-py= 3,5-Dimethyl-pyridine)",0D,2.8,360,479,Blue,81.5,— 
10.1021/jacs.5b04840,10.5517/cc14n789,1062130,Cu2I2(3-Cl-py)4 (3-Cl-py= 3-chloropyridine),0D,2.5,360,530,Green,85.6,— 
10.1021/jacs.5b04840, 10.5517/cc14n79b,1062131,Cu2I2(tpp)2(3-pc)2 (tpp = Triphenylphosphine),0D,3,360,455,Blue,90.3,— 
10.1021/jacs.5b04840,10.5517/cc14n7bc,1062132,"Cu2I2(tpp)2(4,6-dm-pm)2 (4,6-dm-pm = 4,6-Dimethyl-pyrimidine)",0D,2.9,360,465,Blue,72.3,— 
10.1021/jacs.5b04840,10.5517/cc14nd9h,1062286,"Cu2I2(tpp)2(bpp) (bpp=1,3-bis(4-pyridyl)propane)",1D,2.8,360,458,Blue,91.7,13.1
10.1021/jacs.5b04840, 10.5517/cc14n7gh,1062136,"Cu2I2(tpp)2(4,4′-dps) (4,4′-dps = 4,4′-Dipyridyl sulfide)",1D,2.6,360,532,Green-yellow,80,— 
10.1021/jacs.5b04840,10.5517/cc6qhds,200365,"Cu2I2(tpp)2(4,4'-bpy) (4,4′-bpy = 4,4′-Bipyridine)",1D,2.4,360,540,Yellow,76.2,— 
10.1021/jacs.5b04840, 10.5517/cc8y3t3,266315,Cu2I2(tpp)2(pz) (pz = Pyrazine),1D,2.1,360,631,Red,26.1,— 
10.1021/jacs.5b04840, 10.5517/cc14n7df,1062134,Cu2I2(5-me-pm)2 (5-me-pm = 5-Methyl-pyrimidine),1D,2.3,360,570,Orange,30.8,— 
10.1021/jacs.5b04840,10.5517/ccwbqtq,814674,"Cu2I2(bpe)2  (bpe = 1,2-bis(4-Pyridyl)ethane)",2D,2.8,360,494,Blue-green,82.3,— 
10.1021/jacs.5b04840,10.5517/cc14n7hj,1062137,"Cu2I2(3,3′-bpy)2 (3,3′-bpy = 3,3′-Bipyridine) ",2D,2.6,360,515,Green,77.3,— 
10.1021/jacs.5b04840,10.5517/cc6v28c,203802,"Cu2I2(4,4′-dps)2 (4,4′-dps = 4,4′-Dipyridyl sulfide) ",2D,2.5,360,547,Yellow,70.8,— 
10.1021/ic0510359,10.5517/cc8y3r1,266313,"[Cu2Br2(PPh3)2}(μ-bpy)]  (bpy = 4,4‘-bipyridine)",1D,— ,355,595,Yellow,0.18,3.1
10.1002/adom.202302904,10.5517/ccdc.csd.cc27mmxf,2074455,[Cu4I4(Ph3As)3] (Ph3As=triphenylarsine),0D,3.07,350,565,Yellow,100,4.72
10.1002/adom.202302904,10.5517/ccdc.csd.cc27mmyg,2074456,[Cu4I4(An3As)3(EtCN)] (An3As=tris(p-anisyl)arsine;Et=ethyl),0D,3.11,350,555,Yellow,60,4.35
10.1002/adom.202302904,10.5517/ccdc.csd.cc28p8qz,2105821,[Cu4I4(An3As)3(iPrCN)] (iPr=iso-propyl),0D,3.09,350,562,Yellow,63,4.71
10.1002/adom.202302904,10.5517/ccdc.csd.cc27mmzh,2074457,[Cu4I4(Ph3As)3(PhCN)] (Ph=phenyl),0D,3.05,350,560,Yellow,96,4.86
 10.1246/bcsj.20210005,10.5517/ccdc.csd.cc26rz65,2048827,[Cu4I4(Ph3As)4] (Ph3As=triphenylarsine),0D,3.73,356,571,Green,50,9.7
 10.1246/bcsj.20210005,10.5517/ccdc.csd.cc26rz98,2048830,Cu4I4(Tri(p-tolyl)arsine)4,0D,3.9,341,535,Green,64,7.5
 10.1246/bcsj.20210005,10.5517/ccdc.csd.cc26rz32,2048824,Cu4I4(9-phenyl-9-arsafluorene)4,0D,3.46,369,593,Yellow,36,8.9
 10.1246/bcsj.20210005,10.5517/ccdc.csd.cc26rz76,2048828,Cu4I4(1-phenylarsolane )4,0D,3.87,352,565,Yellow,91,9.3
10.1002/adfm.201603444,10.5517/ccdc.csd.cc1lk4v4,1476246,Cu4I4(3-bzo-py)4(bzo=benzyloxy),0D,2.9,360,590,Yellow,85.6,— 
10.1002/adfm.201603444,10.5517/ccdc.csd.cc1lk4pz,1476241,Cu4I4(4-bz-py)4(bz=benzyl),0D,2.7,360,560,Yellow,95.7,11.84
10.1002/adfm.201603444,10.5517/ccdc.csd.cc1lk4x6,1476248,Cu4I4(prbi)4 (prbi = 1-propyl-1H-benzo[d]imidazole),0D,2.7,360,600,Orange,96.1,— 
10.1002/adfm.201603444, 10.5517/ccdc.csd.cc1lk4w5,1476247,Cu4I4(msmbi)2 (msmbi = 1-((methylthio)methyl)-1H-benzo[d]imidazole),0D,3.2,360,550,Yellow,70.2,— 
10.1002/adfm.201603444,10.5517/ccdc.csd.cc1lk4s2,1476244,"Cu4I4(bmbipe)2 (bmbipe = 1,5-bis(5-methyl-1H-benzo[d]imidazol-1-yl)pentane)",2D,2.7,360,550,Yellow,67.1,2.6
10.1002/adfm.201603444,10.5517/ccsq03l,736129,Cu4I4(en)2 (en = Ethylene Diamine),3D,3,360,590,Yellow,70.1,— 
10.1021/acs.inorgchem.5c05184,10.5517/ccdc.csd.cc2mkkvm,2429961,Cu2Cl2(N̂P)3 ( N̂P=Diphenyl-2-pyridylphosphine),0D,3.07,280-480,580,Yellow,57.67,9.6
10.1021/acs.inorgchem.5c05184,10.5517/ccdc.csd.cc2mkl1v,2429967,Cu2Br2(N̂P)3 ( N̂P=Diphenyl-2-pyridylphosphine),0D,2.85,280-480,544,Green,56.72,11.9
10.1021/acs.inorgchem.5c05184,10.5517/ccdc.csd.cc2mkkwn,2429962,Cu2I2(N̂P)3 ( N̂P=Diphenyl-2-pyridylphosphine),0D,2.88,280-480,540,Green,97.64,7.2
10.1039/d5tc02467f,10.5517/ccdc.csd.cc2n4zmf,2447655,[Cu4I4(Ph2P(CH2)3CH3)4],0D,— ,325,572,Yellow,76,5.4
10.1039/d5tc02467f,10.5517/ccdc.csd.cc2nv3bz,2467951,[Cu4I4(Ph2P(CH2)3CH=CH2)4],0D,— ,325,572,Yellow,85,5.5
10.1039/d5tc02467f,10.5517/ccdc.csd.cc2nv3c0,2467952,[Cu4I4(Ph2P(CH2)2CH=CH2)4],0D,— ,325,562,Yellow,81,5.2
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmlq,2467494,[TMPO]2Li2·6H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,265,489,Cyan,95.78,2.62
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmmr,2467495,[TMPO]2Na2·4H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,262,462,Bluish-white,50.7,2.59
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmns,2467496,[TMPO]2K2·4H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,269,460,Bluish-white,83.55,3.83
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmpt,2467497,[TMPO]2Rb2·4H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,261,519,Yellow,85.08,3.58
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmqv,2467498,[TMPO]2Mg·6H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,331,600,Orange,71.35,3.39
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmrw,2467499,[TMPO]2Ca·4H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,328,455,Blue,95.12,1.73
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmsx,2467500,[TMPO]2Sr·5H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,326,460,Blue,86.61,2.94
10.1021/acs.inorgchem.5c04881,10.5517/ccdc.csd.cc2ntmty,2467501,[TMPO]2Ba·7H2O[Cu2I4] (TMPO = trimorpholinophosphine oxide),0D,— ,316,450,Bluish-white,89.9,2.25
10.1039/D2CE00408A,10.5517/ccdc.csd.cc29zwck,2144839,(Py3P–O–PPy3)(Cu2I4),0D,— ,355,472,Blue,83.11,2.58
10.1039/D2CE00408A,10.5517/ccdc.csd.cc29zwgn,2144842,(Py3P–O–PPy3)(Cu4I6) ,0D,— ,425,535,Green,90.77,4.47
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc24zv33,1995845,[Cu4I6(Me-HMTA)2]n (HMTA = hexamethylenetetramine),2D,3.4,300,430,Deep blue,26,10
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc24zv44,1995846,[Cu8I10(Me-HMTA)2(CH3CN)2]n,2D,3.3,300,497,Cyan,10,111
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc253gxp,1999342,[Et-HMTA]n[Cu4I6(Et-HMTA)]n·CH3CN,2D,2.3,300,570,Yellow,78,5.2
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc24zv55,1995847,[Cu4I6(Pr-HMTA)2]n ,2D,3.5,300,510,Yellow,16,16
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc253gyq,1999343,[Cu6I8(Pr-HMTA)2(MeCN)2]n ,2D,3.5,300,630,Red-orange,56,18
 10.1021/acs.chemmater.0c03984,10.5517/ccdc.csd.cc253gzr,1999344,[Cu4I6(Ppg-HMTA)2]n,2D,3,300,470,Cyan,50,17
10.1021/acs.inorgchem.8b01732,10.5517/ccdc.csd.cc1mjd5q,1505303,"[Bis(4,6-diphenylphosphinin-2-yl diphenylphosphinite)Cu2Cl2]",0D,— ,460,692,Orange,1.1,144.4
10.1021/acs.inorgchem.8b01732,10.5517/ccdc.csd.cc1mjd6r,1505304,"[Bis(4,6-diphenylphosphinin-2-yl diphenylphosphinite)Cu2Br2]",0D,— ,461,690,Orange,4.1,266.6
10.1021/acs.inorgchem.8b01732,10.5517/ccdc.csd.cc1zd7cz,1829011,"[Bis(4,6-diphenylphosphinin-2-yl diphenylphosphinite)Cu2I2]",0D,— ,461,684,Orange,1.8,63.8
10.1002/chem.202004539,10.5517/ccdc.csd.cc24w2vz,1992241,[(4-Methyl-2-(diphenylphosphino)pyridine)2Cu4I4] ,0D,— ,355,529,Yellow,58,8.6
10.1002/chem.202004539,10.5517/ccdc.csd.cc24w2w0,1992242,[(6-Methyl-2-(diphenylphosphino)pyridine)2Cu4I4] ,0D,— ,355,593,Orange,93,18.5
10.1002/chem.202004539,10.5517/ccdc.csd.cc25v338,2021079,[(6-Methyl-2-(diphenylphosphino)pyridine)2Cu4Cl4] ,0D,— ,355,505,Green,33,7.7
 10.1021/acs.chemmater.1c00085, 10.5517/ccdc.csd.cc27ys00,2084192,(18-crown-6)2Na2(H2O)3Cu4I6,0D,2.43,450,536,Green,91.8,2.14
https://doi.org/10.1021/acs.jpclett.1c03767,— ,CIF from SI; folder shared,(C12H24O6)CsCu2Br3,0D,1.85,365,535,White,78.3,37.3
10.1021/acs.inorgchem.5c02543,10.5517/ccdc.csd.cc2klp62,2371444,(BPBI)2Cu2Br4 (BPBI = 1-benzyl-3-(2-pyridinylmethyl)-1H-benzoimidazol-3-ium),0D,2.27,250-450,520,Yellow-green,0.4,0.05
10.1021/acs.inorgchem.5c02543,10.5517/ccdc.csd.cc2lvbg8,2408590,"(BBIIP)4Cu4Br8 (BBIIP = 6-benzyl-6H-benzo[4′,5′]imidazo[2′,1′:2,3]-imidazo[1,5-a]pyridin-11-ium)",0D,2.61,250-451,525,Yellow-green,93,6.01
10.1039/d5tc02475g, 10.5517/ccdc.csd.cc2nfpf7,2456019, TPA2[Cu4Br2I4] (TPA=  tetrapropylammonium),0D,2.8,444,512,Green-yellow,95,3.59
10.1021/acs.inorgchem.3c04318,10.5517/ccdc.csd.cc2j02c0,2323771,(C4H10N)4Cu4I8,0D,2.81,260-380,560,Greenish-yellow,84.66,137
https://doi.org/10.1021/acs.jpclett.2c00494,— ,CIF from SI; folder shared,(R-MBA)4Cu4I8·2H2O (MBA = α-methylbenzylaminium),0D,2.77,322,488,Blue-green,21.4,3.96
https://doi.org/10.1021/acs.jpclett.2c00494,— ,CIF from SI; folder shared,(S-MBA)4Cu4I8·2H2O (MBA = α-methylbenzylaminium),0D,2.77,321,480,Blue-green,21.8,3.29
10.1039/D3SC01762A,10.5517/ccdc.csd.cc2f20sb,2236271, DPCu4Cl6 (DP = (C6H10N2)4(H2PO2)6),0D,1.41,240-450,612,Orange,89.76,40.64
10.1039/D3SC01762A,10.5517/ccdc.csd.cc2f20vd,2236273, DPCu4Br6 (DP = (C6H10N2)4(H2PO2)6),0D,1.41,240-450,575,Yellow,95.04,47.7
10.1039/D3SC01762A,10.1039/D3SC01762A,2253788, DPCu4I6 (DP = (C6H10N2)4(H2PO2)6),0D,1.55,240-450,575,Yellow,93.52,4.3
 10.1002/adom.202200724,10.5517/ccdc.csd.cc296cyv,2121297,(AEP)2Cu2I6·2I·2H2O ( AEP= N-aminoethylpiperazine),0D,4,300,495,Cyan,97.2,3.18
10.1039/d5qi02625c,10.5517/ccdc.csd.cc2qcx34,2513886,[(DCH2)(H3O)2Cu2I6] (DCH2=(C6H16N2)2+),0D,2.89,329,468,Blue,96.3,8.33
10.1039/d5qi02625c,10.5517/ccdc.csd.cc2qcx45,2513887,[(DCH2)Cu2I4(CH3CN)2] (DCH2=(C6H16N2)2+),0D,2.7,310,482,Blue,17.3,8
